3,4,5,6,7,100,200,300,400,500
33,36,43,37,52,56,58,58,55,59
39,36,36,39,33,54,56,59,65,57
30,43,20,35,28,52,57,59,57,61
18,32,42,38,41,52,60,58,63,65
21,36,46,48,48,56,60,59,63,66
43,40,38,42,24,59,58,56,60,60
25,33,36,40,39,55,55,61,60,61
25,28,43,26,43,58,61,59,61,61
31,46,34,45,47,59,54,57,58,63
32,48,39,35,36,57,56,58,62,60
23,29,37,33,36,,,,,
29,25,33,32,40,,,,,
22,39,36,40,39,,,,,
31,36,32,50,42,,,,,
29,41,36,37,31,,,,,
25,35,43,38,46,,,,,
35,29,35,51,44,,,,,
30,46,41,41,42,,,,,
50,36,44,49,53,,,,,
24,31,38,41,33,,,,,
14,42,42,39,41,,,,,
38,47,34,40,38,,,,,
36,35,33,33,24,,,,,
38,48,42,45,57,,,,,
34,33,50,49,44,,,,,
38,37,27,46,36,,,,,
42,30,41,42,43,,,,,
27,24,43,47,36,,,,,
35,29,31,35,41,,,,,
21,33,39,39,44,,,,,
