400,700,1000,1300,1600,1900,2200,2500,2800,3100,3400
32,28,20,30,33,37,25,33,24,38,33
21,19,18,28,25,39,27,32,20,26,39
34,17,17,30,31,35,15,55,24,38,30
27,24,33,14,23,36,31,33,28,31,18
22,38,25,30,20,15,25,31,34,22,21
14,26,32,34,42,22,26,43,22,41,43
25,35,21,47,13,24,26,27,26,36,25
26,16,28,24,25,24,31,41,35,41,25
20,21,26,21,10,16,25,35,30,39,31
18,18,31,26,14,23,30,43,35,37,32
26,24,28,19,18,31,36,38,28,19,23
13,25,30,29,39,29,26,38,36,25,29
17,22,27,21,38,36,32,40,47,27,22
22,35,25,19,31,18,31,32,25,22,31
36,17,37,26,16,44,44,15,43,34,29
18,32,19,15,16,15,35,23,18,31,25
19,10,22,14,18,29,27,20,24,19,35
12,28,22,27,25,35,31,46,21,28,30
32,28,14,17,31,31,31,27,31,29,50
18,22,24,37,28,30,45,34,28,28,24
20,18,20,29,21,20,30,26,25,26,14
18,23,14,21,34,33,30,28,29,29,38
34,24,21,11,22,34,33,33,21,26,36
32,11,23,16,32,28,32,44,33,24,38
20,28,36,11,28,24,38,35,31,23,34
22,17,23,15,28,24,37,26,18,49,38
26,20,26,19,36,24,40,29,35,44,42
35,19,34,12,35,20,38,31,34,28,27
35,20,17,23,29,26,20,18,21,36,35
19,22,27,32,32,28,27,38,13,36,21
