50,100,150,200,250,300,350,400,450,500,550,600,650,700
79.1,64.7,58.2,29.6,48.9,44,24.2,41.4,35.5,37.3,35.9,29.7,32.2,32.1
78.7,65.5,56.9,53.3,49.2,41.7,39,37.7,29.3,44.6,28.6,39.1,50.9,28.6
79.1,66.2,58.5,50.4,30.6,43.4,17.5,41.2,43.5,39.3,30.6,42.7,31.9,22.7
80,67.3,56.6,49.3,52,47.4,38.5,30.6,22.6,39.9,41.5,30.7,45.3,21.4
79.6,64.4,32.9,54.4,50.4,42.3,40.4,30.3,41,30.8,37.2,31,41.8,23.7
80.4,65.5,57.2,51.7,47.5,44,38.3,38.6,29,37.8,24.8,34.6,30.7,42.7
80.9,67.6,59.4,52.8,52.2,48,45.7,30.4,38.2,38.7,34.5,36,27.2,43
80,65.8,59.7,51.2,31.8,40.2,38.5,33.9,26.1,36.1,33,24,25.7,30.5
80.9,65.5,60.6,48.5,48.9,42.9,28.4,37.6,45,23.6,25.8,29.9,32.4,26.1
79.1,64,55.1,32.5,51.8,44,37.1,30.3,39.5,35.1,38.1,23.2,37.5,22.2
81.8,65.5,56.3,50.7,33.9,43.8,46.1,35,25.4,24.7,28,38.3,30.9,38.6
80.9,64,64.3,50.1,45.4,48.4,40,38.8,38.1,35.7,32.8,35.9,26.7,31.4
82.7,65.1,60.3,50.9,34.4,43.6,40.8,41.7,38.9,35.4,32,37,45.5,35.5
79.6,65.5,60.3,53.6,51.8,45.5,41.5,49.4,26.9,36.3,32.3,29.7,36.7,27.7
77.8,65.8,56.6,53.1,49.6,25.7,41.1,33,34.9,39,42.8,35.6,18.2,34.4
82.2,65.1,54.8,52,30.6,44.6,43.4,35.3,44.2,31.9,37.7,28.3,31.4,39.9
80.4,65.1,60.3,47.7,49.9,44.8,37.3,41.4,36,24.3,24.1,19.2,42.9,37.1
77.8,65.8,58.5,29.6,33.4,47.6,45.5,36.5,40.5,20,39.3,28.8,34.3,22.6
79.6,64.7,62.2,58.1,49.4,42.1,41.5,37.9,46.7,41.9,38.9,38.8,33.1,40.7
80.4,67.3,58.8,52.3,47.5,25.3,26.5,41.9,35.7,30.2,37.5,28.8,33.7,23.7
81.8,64.4,63.4,48,50.6,42.1,39.2,37.4,42.2,39.3,37.5,31.2,19.8,30.3
77.8,70.5,54.5,50.9,54.1,50.9,45.5,38.1,26.9,29.3,33.4,23,23.4,32.5
79.6,67.3,59.1,53.6,50.4,42.7,39,35.8,36.6,37.5,32.6,41.2,19.6,25.5
78.7,65.8,54.2,49.6,49.2,44.4,42.3,40.5,36.5,41,20.3,22.6,32.4,34.9
79.1,65.1,60.6,51.5,50.6,47.6,46.5,40,17.9,42.5,34.6,35.2,31.6,19.5
